,tweet
26466,"RT @HelenKennedy: At this point, why are you going through with this @NBCNews?
"
26506,"RT @svdate: ""I'm okay with masks.""
"
26567,"Isn't this supposed to be a town hall debate? Why is the moderator arguing with Trump about his COVID case?
"
26754,"RT @B52Malmet: @linksteroh @NBCNews This stunning reward for a candidate who backed out of the debate is despicable. #FireChuckTodd
"
26873,"#TrumpDementia -- his fading memory!
"
26942,"RT @littledeekay: Jesus Fucking Christ.
"
27083,"RT @lionel_trolling: lol he's still got it https://t.co/xcbt9JjLIb
"
27121,"A lot more informative though, at least the Biden one.
"
27151,"RT @OrrChris: Tfw you damage your reputation by doing Trump's bidding and he trashes you anyway. https://t.co/mu3tOM8Hgb
"
27174,"The Salt Lake City ABC affiliate has elected to air a Congressional debate instead.
"
27189,"Not watching NBC.   Watch ABC.
"
27254,"RT @ZenGuille: The whole media should just resign.
"
27333,"RT @JESZTRUMP2020: From debate. Bidens wiredd cuff &amp; inside right side if lapel. Google it. https://t.co/x35wlvUqZf
"
27358,"RT @DemocratMachine: (he didn't) https://t.co/kMeeRqBDle
"
27391,"RT @TrueNorthPolit1: This MSNBC Town Hall is already way more devastating for Trump than the last debate.
"
27461,"RT @HETorresJr: What a prick.
"
27495,"RT @tackettdc: Trump said he doesn't remember if he took a COVID test the day of the debate
"
27580,"We're still having the mask debate. I can't believe I live here. I want to move.
"
27601,"Sounds like Don the Con is really excited about talking to the American people. Not! #WeCantHearYouDonnie
"
27620,"Joe Biden looks right at home in this townhall debate style.
"
27632,"Waste of time listening to this lying lunatic
"
27640,"of course.. the man is trash
"
27647,"RT @DailyTrix: Trump can't remember 2 weeks ago, but Biden is the guy with dementia.
"
27667,"Oh brother...
"
27670,"run around the mulberry bush....
"
27676,"took some time away from hades and came back today and this shit really GoTY no debate
"
27742,"RT @LanceUlanoff: Trump does not know if he took a COVID test on the day of the debate. #TownHall https://t.co/F5EQ3ChLEz
"
27820,"@ddale8 I thought it was confirmed he did not test at the debate- is he talking about internal testing the day of then?
"
27845,"There's a good debate going on right now between the Rays and Astros. Soon the Dodgers and Braves will be debating.
"
27869,"Of course he did not.  #TrumpFailedAmerica
"
27877,"@AhmedBaba_ They made damn sure that Trump arrived to late at the debate to take a test there, we know that much
"
27901,"@ddale8 Wasn't testing part of the rules for the last debate??
"
27916,"AD Best Bigman in the league no debate whatsoever
"
27956,"I hope they don't do a last debate. If I were Joe Biden I wouldn't be in the same room as Donald Trump ever again.
"
27985,"This Town Hall is FASCINATING. Trump Town Hall is way better than a debate.
"
28032,"RT @mechester2016: Trying to tweet some truth regarding CA-28. #VoteRedToSaveAmerica
"
28058,"RT @Theophite: come watch my FAKE town hall
"
28086,"EXACTLY!!
"
28089,"To be clear, a negative debate test is required by the debate commission.
"
28166,"@lisastark351 Biden, but I peeked at trumps long enough to see Savannah grilling him on his Covid test before the debate.
"
28190,"Post debate NBC will regret this.
"
28225,"RT @Butter72035882: @MSNBC If trump can town hall why can't he debate Biden again? https://t.co/RzRO2A3cmU
"
28269,"Really happy to not be watching a debate right now.
"
28327,"RT @BGHeaven: What an embarrassment to the USA.  Does he want to be a bad tv comic or a leader?  NVM he just wants all the cameras on him.
"
28374,"RT @Dknight10k: Trump can't answer if he took a covid test on the day of the debate. This fucker here.
"
28470,"RT @pdabrosca: The ""100% honest and ethical"" guy lied about his Twitter being hacked, Frank.
"
28492,"Guthrie is crushing this. Why can't we get a debate moderator like this?
"
28520,"Well this is fun.  Two candidates talking non-stop over each other.  Nothing like the last debate. https://t.co/JzOY4PmdXM
"
28542,"RT @DailyTrix: Trump can't remember 2 weeks ago, but Biden is the guy with dementia. https://t.co/2GCOxcE5ll
"
28565,"I thought Trump had one of the all time great memories.
"
28577,"Fuucking nasty asss man
"
28644,"watching my first Maine Senate debate and Gideon says she wants to reinstate the filibuster for judicial nominees?
"
28663,"RT @sendhimbacknov3: Right there with you, Wanda
"
28785,"So... Trump gets to debate a reporter for his ""town hall"", Biden gets softballs. 
"
28804,"Trump refused a debate. People should boycott his town hall.
"
28866,"RT @HETorresJr: What a prick. https://t.co/7szMbSxOr4
"
28877,"We can only
"
28880,"Lying degenerate. @realDonaldTrump
"
28885,"RT @Independent: CSPAN debate moderator Steve Scully suspended after he lied about being hacked over Trump tweet https://t.co/aAv2wktZmO
"
28965,"@KOLO8 It's 5:08 PM. WHERE is the SCHEDULED DEBATE?
"
29019,"The man with the perfect memory, the best memory of all time, can't remember if he got a test on the day of the debate.
"
29048,"RT @besf0rt: this you? https://t.co/vJOYpjU750
"
29058,"NBC was it worth it...
"
29095,"Amy ""I dont recall"" Barrett
"
29182,"She has asked the same question 4 times: Did you take a test on the day of the debate? https://t.co/4J091QFyfa
"
29206,"Perfection.
"
29208,"RT @adamslily: It did not provide clarity. He just lied. https://t.co/2xMBVNS2wL
"
29280,"Don't forget he tried to kill his opponent...literally
"
29308,"Trump still refusing to say when he tested negative to covid
"
29350,"C-SPAN Suspends Anti-Trump Debate Moderator Steve Scully ""Indefinitely"" For Lying About Twitter Hack | Zero Hedge https://t.co/rPBZtUMRyh
"
29398,"I would very much like to see Savannah Guthrie moderate a debate.
"
29433,"Omg... President Trump says he does not remember if he was tested on the day of the first presidential debate. REALLY??
"
29458,"RT @MJKelly7: @realDonaldTrump always seems to be 10 feet ahead of the establishment. BTW. #BidenCrimeFamily
"
29516,"@slammy99 @scrowder Not sure what your point is. The debate he was supposed to moderate would have been on NBC.
"
29586,"Next
"
29632,"@CalebJHull That's why I'll watch the Dodgers and get the debate info here.
"
29668,"Is Joe Biden having to debate the moderator of his town hall like President Trump is in #TrumpTownhall ?
"
29688,"Shavannah has no creds for this assignment ~ 
"
29758,"RT @Demagogues_Bane: I hope they don't do a last debate. If I were Joe Biden I wouldn't be in the same room as Donald Trump ever again.
"
29791,"RT @NOD008: ""Sir, Did you take a test the day of the debate?""
"
29822,"@DiamondandSilk @bennyjohnson Has a great debate between Biden and Biden on @newsmax
"
29895,"He's never been tested i bet
"
30044,"Oh he did and went anyway I'll bet.
"
30093,"Savannah Guthrie is a great interviewer. Much much better any of the debate moderators, imho #NBC #debate
"
30145,"RT @keiserrott: FACTS MATTER! https://t.co/364nKk7gGh
"
30155,"and the have trump own on MULTIPLE stations.
"
30164,"Oh. My. Goodness. @SavannahGuthrie is so freaking shrill tonight. This is not a debate - it's a town hall. #TrumpTownhall
"
30208,"@EricTrump @kcm285 @nbc @realDonaldTrump Is this a debate between Savannah and Trump?
"
30225,"if you're curious about the trump town hall, follow @atrupar's coverage. don't give him any ratings.
"
30248,"reminder that Trump's main line of attack against Biden is supposed cognitive issues
"
30282,"LOSER!
"
30315,"Follow @BenWinslow for live updates of the debate tonight. Head to our Facebook page or website to watch!
"
30336,"RT @briantylercohen: NBC chose this.
"
30344,"So when is this bitch gonna let The President answer questions? She turning this ""town hall"" into a debate. This is bullshit.
"
30372,"RT @Goss30Goss: Joe Biden looks right at home in this townhall debate style.
"
30388,"RT @Sparty80GoGreen: Take it over and just talk about the scumbag Biden crime family.
"
30565,"RT @MarkDavis: See?  Told you there would be a debate on NBC.
"
30581,"RT @WonderKing82: This man is mentally ill.
"
30591,"RT @Josiensor: Savannah Guthrie is a great interviewer. Much much better any of the debate moderators, imho #NBC #debate
"
30628,"RT @GalacticRedPill: So... Trump gets to debate a reporter for his ""town hall"", Biden gets softballs. 
"
30667,"""I have one of the greatest memories of all time.""
"
30680,"RT @RachelHeine: if you're curious about the trump town hall, follow @atrupar's coverage. don't give him any ratings.
"
30707,"RT @rolling_2: ABC UTAH is airing a local debate with two men who look like morticians. How can I watch Joe?
"
30732,"RT @ForAmerica: Is Joe Biden having to debate the moderator of his town hall like President Trump is in #TrumpTownhall ?
"
30834,"RT @MomJar1: If you dont know who you are voting for this debate wont help
"
30866,"RT @America08220938: @AdamZHerman When he was talking about it in the first debate I literally thought he was talking about a mob hit.
"
31028,"My theory is that doctors have jabbed that swab so far up his nose that it damaged his hippocampus.
"
31048,"Boycott NBC over this obvious money grab by selling America out
"
31059,"RT @lindsaywise: Ernst at Iowa Senate debate: ""I would not say just broadly that we have systemic racism across the board.""
"
31086,"RT @GrogsGamut: ie he didn't https://t.co/7RPD7UYn3z
"
31109,"RT @rabiasquared: He's never been tested i bet https://t.co/6po9ZOQBYk
"
31123,"RT @Cernovich: Ok frank. https://t.co/Mbc5QVJlTH
"
31182,"So, Trump has to debate the moderator? I thought it was going to be a townhall?
"
31321,"Possibly a lie...who are we kidding...he did NOT!
"
31377,"@SavannahGuthrie this is not your debate with #POTUS.
"
31388,"Debate moderators be like:
"
31393,"Is this a debate with the host or a town hall? @NBCNews
"
31407,"So the answer is no.
"
31413,"gonna put two tvs across from each other and pretend that it is a normal debate and that everything is ok :)
"
31464,"@realikamusume Is she the final Debate moderator as well?
"
31475,"RT @rabiasquared: He's never been tested i bet
"
31486,"""I have one of the great memories of all time.""
"
31546,"RT @votelavenia: Candidate @Greenfield4NY19 barred from tonight's @WMHTPubMedia NY 19 Congressional Debate https://t.co/kWJ5gnmEZI
"
31566,"@adamugarba Fem.. Man With An Empty Skull.. We Should Do A Debate And See How Youll  Be Schooled
"
31609,"Literally the answer to any question
"
31615,"Hahahaha Trump is debating the host. Just like the first debate!!!
"
31646,"How does he not know? Donald Trump is a danger to American lives.
"
31661,"RT @ofirahy: It did not!
"
31720,"Trump Was Saying At His Rally That He Was Being Set-Up?? By Who I Have No Idea!
"
31740,"Trump: 4 Years in, and he Doesn't Know Anything
"
31768,"I want to watch this but the lady doing this debate is beyond annoying @NBCNews
"
31784,"What a guy.
"
31812,"He just told Guthrie he didn't remember if he was tested on debate night.
"
31828,"So, that's a no.
"
31835,"OK KAREN!
"
31838,"Welcome to the @SavannahGuthrie vs @realDonaldTrump debate!!!
"
31874,"RT @Joyfulvink94: Exactly! https://t.co/NMs9bZj6h3
"
31929,"The correct choice, sir.
"
31959,"Unfit for any job but being the son of a wealthy guy
"
31997,"RT @RalstonReports: ""I have one of the great memories of all time.""
"
32117,"RT @edwrather: So, Trump has to debate the moderator? I thought it was going to be a townhall?
"
32223,"Was probably out partying with #ByeTiffany
"
32289,"Savannah Guthrie doing 9000 times better than either debate moderator at cutting things off
"
32303,"This is exactly why @NBCNews did not need to host this COVID Super Spreader in Chief
"
32351,"RT @maxasteele: President Good Brain cannot remember when he was last tested before the debate. What a joke.
"
32374,"RT @ortwerth: @ali Wallace, Rove, Spicer
"
32385,"@lewis_goodall What differentiates a negative test from a negative debate test?
"
32482,"Will Savanna Guthrie act like it's  a townhall and NOT a debate between her &amp; Trump, fucking please.
"
32505,"Jeeze Louise he wont get to anything substantive because of debate with the moderator
"
32559,"Steve Scully he is lie he is not honest person Frank luntz U covering his lie Steve Scully is bias he hates Trump
"
32674,"This is a town hall Savannah not a debate.
"
32715,"Just positively absurd lying... Because they knew he was infected at the debate
"
32750,"Seein this absolute blert do this behind a podium with the US presidential seal on it is fuckin obscene.
"
32770,"RT @swin24: Literally the answer to any question https://t.co/FccDIIGdCz
"
32891,"Is this a debate or a lecture? Hmmm.
"
32925,"RT @jennyrachelpal: Lying degenerate. @realDonaldTrump
"
32934,"RT @snlester: There's a good debate going on right now between the Rays and Astros. Soon the Dodgers and Braves will be debating.
"
33037,"RT @brian_cahn: Trump just admitted he doesn't take COVID tests every day and ""doesn't remember"" if he took a test the day of the debate.
"
33168,"this is useful, congratulations @NBCNews
"
33191,"@NBCNews  Samantha can  we get onto the Debate
"
33200,"Watch live here: https://t.co/fDrdNcPkRz
"
33333,"Word....
"
33424,"RT @steelcitycrazy: This is a town hall Savannah not a debate.
"
33438,"RT @StandUpAmerica: How does he not know? Donald Trump is a danger to American lives.
"
33481,"RT @CrypticNoOnee: they should've got this guy to moderate the debate
"
33567,"@Josiensor She asked if trump took a test before the debate. He replied mane I did, maybe I did not. 
"
33748,"Oh My???He is supposed to visit Ocala tomorrow-Super Spreader Jingo!!!!!
"
33838,"I like her alot! She's pushy lol PRESS HIM! #Debate #TownHall
"
33875,"@cnnbrk After Biden refused to do the already agreed upon in person debate*
"
33890,"RT @abradacabla: reminder that Trump's main line of attack against Biden is supposed cognitive issues
"
34008,"Lmaooooo what the fuck son
"
34036,"How fucking disgusting
"
34137,"i would like a compelling argument that the job savannah guthrie does could not be done by a swiffer wet jet
"
34292,"LOL what did anyone expect from this clown
"
34300,"Looks like things are going well on the other channel.
"
34390,"Trump is at another one-sided debate.
"
34444,"Comical.
"
34446,"RT @k_ovfefe2: He's going to skip the town hall and the next debate, isn't he?
"
34491,"And this is Trump drinking water. https://t.co/6tlhLBmEwP
"
34501,"Here we fo, the President is having a debate with a stupid, biased little bitch of a person. #TrumpTownHall
"
34540,"RT @notcapnamerica: How would you not remember?
"
34595,"RT @LolOverruled: Trump is not answering whether he had a COVID test on the day of the debate lmao
"
34616,"when the iowa city cops asked if i was drinking underage.
"
34688,"Pretty much sums up every debate I've ever watched https://t.co/QJVNv90Sxu
"
34735,"RT @TomasMorales_iv: Trump is at another one-sided debate.
"
34746,"Yup. Also, falsely tries to equate Wimbledon, the Super bowl of #tennis with the equivalent of playoff games.
"
34824,"Trump, pressed, made clear he did not get tested before debate - and says insanely 85% of people who do wear a mask get covid
"
34876,"RT @Braunger: DOES TP GO OVER OR UNDER THE ROLL?! ANSWER ME!!! https://t.co/JyB6Q1a3aV
"
34958,"TRUMP LIVE speech at Town Hall - Debate 2 Replacement https://t.co/YISEhntFCY via @YouTube
"
35039,"@BuzzPatterson Is this a debate between Trump and Guthrie or will the audience be able to ask questions?
"
35059,"Trump and Biden having town halls at the same time on different channels instead of a debate is so childish
"
35102,"Guthrie wants to debate, not host a Townhall.
"
35134,"Spending 10 minutes on masks at the NBC townhall debate and annoying gotcha questions... geez
"
35174,"Ok the @SavannahGuthrie vs. @realDonaldTrump debate is lit
"
35354,"Meanwhile ...
"
35377,"What markets are getting the Biden debate? Here in El Paso, Texas, it's listed on the cable guide but #KVIA @abcnews are showing local news.
"
35488,"He opens his mouth. Lies. No, he did not test the day of the debate.
"
35507,"RT @Swerdlick: Guthrie asks the president if he took a covid test the day of the debate. He says: ""I don't know, I don't remember.""
"
35542,"watching both town halls simultaneously at full volume to simulate a second debate
"
35573,"RT @swin24: Literally the answer to any question
"
35583,"RT @PollWatch2020: Guthrie wants to debate, not host a Townhall.
"
35757,"#TrumpTownHall 
"
35759,"RT @katiefitzpat: Vancouver's rise in ""crime"" is a rise in visible poverty https://t.co/1Du4aBOC4z
"
35795,"Confirmed 100% whoops tweet by @FrankLuntz.
"
35818,"@stridinstrider @karentotten In Utah we have a local debate for CD3 on the air instead.
"
35885,"RT @MNateShyamalan: gonna put two tvs across from each other and pretend that it is a normal debate and that everything is ok :)
"
35913,"bitch is there a debate rn?
"
36083,"RT @tthrasher23: Welcome to the @SavannahGuthrie vs @realDonaldTrump debate!!!
"
36249,"Fine you don't remember. Ask him if he'll allow doctors to tell us!!!
"
36361,"@nbc is this a mask debate or a town hall
"
36385,"FFS is this the great mask debate or are we going to get to the town hall questions?
"
36472,"If you play both town halls at the same time with the volume on, it approximates what the 2nd debate would have been like
"
36529,"Testing on the day of the debate is meaningless. #TownHalls
"
36553,"Also Trump: I have ""one of the great memories of all time""
"
36836,"This is actually no different from the debate a couple weeks ago. Both talking over each other. #Debate2020 https://t.co/bfGh1lICcO
"
36906,"Having 2 town halls instead of a 2nd debate is so ridiculous
"
37018,"RT @nielslesniewski: Meanwhile ...
"
37024,"RT @kathrynw5: Also Trump: I have ""one of the great memories of all time"" https://t.co/z7cpm2mE93
"
37046,"This is prob why no debate, they knew what was coming.
"
37073,"@flixbf i constantly debate mine
"
37183,"lmao and this is what he wanted.
"
37203,"@amyriscool @benyt Exactly.  And that's why if he has a good Town Hall tonight, I expect he won't debate next week.
"
37231,"Wow watching Joe on ABC is so much better than the debate!
"
37357,"RT @Riles23: when the iowa city cops asked if i was drinking underage. https://t.co/uimiOqK0KF
"
37392,"RT @virginianpilot: The would-be moderator for the canceled presidential debate has been suspended by C-SPAN.
"
37618,"He is truly incredible and making @NBCNews look dumb af
"
37629,"Savannah dear, dont EVEN think you can take Trump down on a statistic debate. He is MUCH more informed than you.
"
37716,"Is @SavannahGuthrie going to debate @realDonaldTrump for an hour or will we hear from the citizens? @NBCNews @MSNBC
"
37783,"#TrumpTownHall What is this, the mask debate? Stupid. Move on
"
37821,"Is this a town hall or is it a debate between Guthrie and Trump?
"
37860,"I f*cking guarantee you Trump knew he was positive and was hoping to infect Joe Biden with Covid. Guarantee it.
"
37922,"Biden is winning the debate. #TrumpIsALaughingStock #JoeWillLeadUs https://t.co/avA0REqmQp
"
37935,"Anyone else watching the Trump/Guthrie debate?
"
37966,"@JoeBiden @ABC Why did you insist on a VIRTUAL debate when you are now in a town hall setting????
"
38120,"@atrupar Biden should not go to third debate
"
38162,"Watching Biden now
"
38270,"I thought it was a town hall or is he going to have to go up against savanna.   Is she his debate person tonight??
"
38297,"Who's watching the town hall? So far this is a debate not a town hall.
"
38315,"RT @Jonas_EJ: Spoiler: Malliotakis lied, disrupted, and lied some more they had to cut her mic. #NY11 https://t.co/7GzqwM9GjM
"
38447,"RT @briantylercohen: lmao and this is what he wanted.
"
38459,"This is off to a ridiculous start.
"
38486,"RT @kathrynw5: Also Trump: I have ""one of the great memories of all time""
"
38505,"@BrandonStraka @MsBlaireWhite Link for the debate?
"
38526,"Is this a debate or a town hall?
"
38545,"Also, Trump is flagrantly irresponsible.
"
38552,"RT @paulfeig: Good god, do you EVER stop crying??? #VoteHimTheFuckOut #PLEASE
"
38571,"anyhow I'm watching the Trump town hall, because him debating a moderator is the real debate anyway
"
38602,"Yeah. Okay
"
38690,"RT @Roshan_Rinaldi: What a small, petty little man.
"
38781,"We the people of still a free country demand a debate. #TRUMP2020ToSaveAmerica
"
38860,"Yes you know a lot about lying #TrumpLiesMatter
"
38869,"RT @zerohedge: Hey Newsweek, you may want to fact check your ""fakecheck""
"
38886,"Savannah Guthrie is a great interviewer. Much much better than any of the debate moderators, imho #NBC #debate
"
38908,"@xkellie79 @rbeck425 @realDonaldTrump @cspan Well, I guess you got me with your riveting debate of policy and actions.
"
38955,"The Gemini in him is happier than a pig in shit.
"
38991,"@JordanChariton He was positive before the debate. History will reveal.
"
39040,"I wrote this about four years ago.  Reupping it as background for the #Section230 debate.
"
39108,"Good grief, Amy.
"
39113,"fucking trash
"
39168,"Town Hall - Debate 2 Replacement is already a joke.  Enough of your stupid questions lady!
"
39186,"I thought this was cancelled?
"
39223,"That is a no
"
39277,"@TheLeoTerrell @realDonaldTrump @NBCNews Trump is in a debate with Guthrie. This is not a townhall.
"
39321,"is this a fucking joke
"
39326,"Enjoying Trump debate Savannah Gutherie.
"
39353,"#Election2020 @SavannahGuthrie is doing an outstanding job getting the facts, everyone should be watching
"
39455,"Pour one out for the dozens of Obama judicial nominees who went unconfirmed due to McConnell use of the filibuster
"
39475,"RT @RobDenBleyker: If you play both town halls at the same time with the volume on, it approximates what the 2nd debate would have been like
"
39528,"RT @DC_Draino: This aged like milk
"
39638,"Shut up Savanah.  Is this your debate?   Did not know you were running for office.
"
39704,"RT @MeidasEric: So he broke the rules. There should be no more debates. https://t.co/BmGzKBusOw
"
39724,"RT @fox13: Follow @BenWinslow for live updates of the debate tonight. Head to our Facebook page or website to watch!
"
39779,"This is the Donald Trump I wanted to see at the debate #TownHall
"
39793,"Guess there is a debate tonight after all! 
"
39822,"This #TrumpTownHall has turned into a debate.
"
39973,"What a shit show this president is.
"
40005,"RT @KyleKulinski: VOTE FOR SHAHID!
"
40083,"This is actually no different from the debate a couple weeks ago. Both talking over each other. #Debate2020  #TownHall #TownHalls
"
40160,"Every so often I need to remind myself that there are people who genuinely think that Joe Biden is tough and cool.
"
40189,"Good fucking lord @NBCNews really fucked up thinking this townhall was a good idea.
"
40205,"Incredible
"
40240,"Why Republican Town Hall debate is not posting on public tv channel?!? https://t.co/1oj3cNVZKn
"
40319,"RT @ColumbiaBugle: The Debate Commission is a corrupt joke.
"
40417,"RT @AndrewHClark: Guess there is a debate tonight after all! 
"
40430,"RT @Zac_Petkanas: is this a fucking joke
"
40450,"He should every year this isnt a debate this is fact
"
40461,"Can we get to the debate on policies and not on a mask?
"
40671,"At least Trump only has to debate one person tonight
"
40715,"So I thought this was supposed to be a town hall!!! Not a debate between the President and Savannah Gutherie. Where does this woman get off?
"
40801,"RT @WendyMomofbest3: GOOD LUCK WITH LIAR LIAR !!!! I am with @GStephanopoulos and @ABC
"
40916,"@SavannahGuthrie for every debate moderator.
"
40923,"#JoeBidenTownHall Where is the TRUMP DEBATE, @TWITTER
"
40946,"RT @Wanzi_G: He should every year this isnt a debate this is fact
"
40975,"well okay then...that's crystal clear.
"
41005,"RT @Zac_Petkanas: is this a fucking joke https://t.co/dyth6Sylgv
"
41041,"Maybe he could call a ""friend"" and ask.....
"
41052,"Is this a fn debate between lib hag Savannah Guthrie &amp; Trump or a townhall?! Wtf. #TrumpTownHall
"
41216,"@BoSnerdley She went to the Chris Wallace school of debate moderator
"
41255,"@SharylAttkisson I guess there was a debate tonight after all.
"
41352,"He did not take it.
"
41358,"All in one place: Our live roundup makes it easy to follow what's happening in the dueling Trump &amp; Biden town halls https://t.co/J9IsKg2A70
"
41387,"@SharylAttkisson 12 minutes in and still debating mask. Why have people there for a 2 person debate
"
41450,"Biden corruption
"
41498,"Go on. https://t.co/LBEp55Z1hJ
"
41556,"RT @NickFor46: Was probably out partying with #ByeTiffany
"
41567,"What is wrong with this NBC woman??!! Is this Debate #2 or a Town Hall? @realDonaldTrump
"
41672,"@HelenKennedy Come on! They aren't even showing me Biden on my ABC station! I am seeing Iowa debate! I am in IL!
"
41723,"Both for $200, please.
"
41769,"Ask him if he'll instruct his doctors to tell us!!!!! I'm not a journalist but it's easy to corner him.
"
41798,"Trump lies on NBC @chucktodd
"
41894,"RT @briantylercohen: lmao and this is what he wanted. https://t.co/bWCefpnVMe
"
41971,"Is this a Town Hall or a debate between @realDonaldTrump and @SavannahGuthrie ? #TrumpTownHall #TownHall
"
42101,"@realDonaldTrump LIAR, it's because the RepubliKKK, are trying to shove thru  money for the rich! DEBATE COWARD!
"
42146,"Would love to hear from voters rather than hear Savannah Guthrie debate Donald Trump.
"
42161,"Great to see electoral debates include discourse on racism. 
"
42213,"RT @fairtax2011: @BuzzPatterson Is this a debate between Trump and Guthrie or will the audience be able to ask questions?
"
42271,"RT @todd_belt: Dueling simultaneous town halls instead of a debate is a terrible idea.
"
42330,"Is there anything more divisive than this @NBC scheduling? 
"
42341,"This is the second debate. Msm subbing in for Biden full stop. #CrowderTownHall
"
42504,"You say dumb luck the rest of optimists call it a miracle.
"
42657,"RT @lewis_goodall: To be clear, a negative debate test is required by the debate commission.
"
42676,"RT @digby56: He did not take it.
"
42712,"This should be happening right now, but instead the two old men are hiding from each other on different networks.
"
42812,"RT @Tombstone1954: This is the guy they picked to moderate the second presidential debate.
"
42915,"@SavannahGuthrie This is a town hall not a debate, please have some respect.
"
42931,"let me tweet this debate thing
"
42982,"@SharylAttkisson The debate is between this little no name person from NBC and the President.
"
42999,"I thought a town hall was people asking questions? Not a debate with a host?
"
43103,"Is this a debate? Is she standing in for Joe tonight?
"
43142,"RT @KassandraKitson: Big yikes
"
43159,"@JoeBiden Can we get a debate between you and @realDonaldTrump moderated by a Minecraft villager? Pretty please??
"
43181,"@mviser @brianstelter Because they gave a bogus certification to the debate commission.
"
43196,"RT @paulfeig: Good god, do you EVER stop crying??? #VoteHimTheFuckOut #PLEASE https://t.co/TwBe4eeXmQ
"
43238,"who let @SavannahGuthrie moderate this debate. awful.
"
43286,"Someone do the zodiac signs as which debate they chose to watch
"
43325,"RT @ehforgetit: Trump: 4 Years in, and he Doesn't Know Anything
"
43341,"glad he cleared this up
"
43389,"@RadEmpanada &amp; @MLUK1917 You guys need a debate moderator.
"
43421,"RT @Tierney_Megan: Pour one out for the dozens of Obama judicial nominees who went unconfirmed due to McConnell use of the filibuster
"
43476,"@jaketapper This is why NBC should NOT have agreed to an interview but rather a debate.... ABC also....
"
43521,"cc: everyone who freaked out about this event. Trump is facing tougher scrutiny than he did at the first debate.
"
43558,"Wish I had 5 dollars for every time she asked ""did you test positive the day of the debate?""
"
43580,"Miss you @chrislhayes
"
43595,"RT @ActualAlexZ: .@POTUS on @GovChristie saying he was ""wrong"" not to wear a mask at the White House and debate prep: 
"
43693,"RT @bubulaboo: Sick of this.
"
43722,"@AriFleischer @JohnCornyn It was Trump who pulled out of the debate!
"
43736,"@yashar Guthrie is off, this is a town hall not a debate between her and Trump
"
43789,"The new episode is up, with @wgnkingjohn @ericzorn @byldonovan @HeatherCherone and @a_r_berg LISTEN: https://t.co/jGA4mxyeMI
"
43836,"RT @digby56: He did not take it. https://t.co/NloScPu55k
"
43872,"A horrific thread.
"
43907,"@kaigetit let's see the tolerant left debate you on this one brother
"
43921,"What an ass you are @realDonaldTrump
"
43983,"RT @SophistsAwake: Is this a debate? Is she standing in for Joe tonight?
"
44138,"He tested positive the day of the debate or he would just answer the question.
"
44201,"""[I have] one of the greater memories of all time""
"
44215,"Town halls live: Trump and Biden's dueling events with voters get under way https://t.co/v5g5hiy48G
"
44262,"RT @EvBerryhill: Would love to hear from voters rather than hear Savannah Guthrie debate Donald Trump.
"
44281,"It is so stupid that we are having town halls right now and not a real debate.
"
44311,"RT @TrumpsSquirrel: FFS is this the great mask debate or are we going to get to the town hall questions?
"
44363,"Savannah Guthrie is being absolutely ridiculous! Trump is not there to debate her.
"
44497,"Trump really fumbled the bag by doing this townhall that's harder than the debate
"
44512,"that's a @jsscppr story &gt;&gt; https://t.co/ivkr80qNOF
"
44527,"I feel like ABC is lighting this debate to make everyone orange?
"
44610,"@SavannahGuthrie  and producers, finally a debate!
"
44619,"RT @mas_splinter: @yashar Guthrie is off, this is a town hall not a debate between her and Trump
"
44641,"RT @FoilTha: So instead of debating Biden, Trump is being forced to debate Samantha Guthrie then?
"
44708,"RT @BrendanNyhan: cc: everyone who freaked out about this event. Trump is facing tougher scrutiny than he did at the first debate.
"
44759,"Get OFF OF COVID! Unbelievable! Ask an important question in @realDonaldTrump @NBC debate #SUCKS https://t.co/GnZWHzfLyD
"
44803,"Trump just cannot tell the truth.  It's just not in him.
"
44818,"This isn't a town hall this is a debate between trump and the moderator.. what a joke #trumptownhall
"
44839,"Why does Trump have to debate moderators?
"
44889,"@realDonaldTrump @tillmantweets @cspan You are owed another debate!
"
44901,"Dat glass had my vote. https://t.co/Voirp57IUS
"
45011,"@EJDionne @SavannahGuthrie Too bad Savannah didn't moderate the first debate.
"
45041,"@NilesGApol Max Linn actually sounds like a normal guy this debate.
"
45150,"@TODAYshow @SavannahGuthrie @realDonaldTrump Guthrie getting upset now trying to debate the President.
"
45270,"Remember the first debate where all Trump did was lie and interrupt? 
"
45334,"RT @notcapnamerica: How would you not remember? https://t.co/YEpPcFl6W9
"
45492,"@EvanAKilgore The officials won't let them debate on the same stage.
"
45624,"RT @WAMCNews: Happening now: the live #NY19 debate. Our @ADunneWAMC is on the panel:
"
45707,"@TrumpJew What a bitch. She's trying to debate!
"
45743,"Helicopters.
"
45764,"@ConstanceZimmer @ABC @JoeBiden Quinn King would've made an incredible debate moderator
"
45779,"This is the Trump Guthrie debate.
"
45786,"Is this a Town Hall or another debate?
"
45809,"So instead of debating Biden, Trump gets to debate @SavannahGuthrie ??? Smh
"
45881,"@JoeBiden doesn't even have to be there, the media will debate @POTUS for him!!
"
45972,"Is @JoeBiden getting the same treatment as @realDonaldTrump right now? FFS this is a debate not even a town hall.
"
46069,"Life would be better if everybody could debate properly.
"
46095,"His communication team must be losing their minds.
"
46176,"@danpfeiffer This to me is evidence he got a positive test result, wanted to hide it, and went to the debate.
"
